sku,nombre,zona,rack_id,cantidad,peso_kg,categoria
SKU-0001,Galletas de Soda x12 #41,DRY,DRY-R31-C40,57,2.14,limpieza
SKU-0002,Jabón Lavavajillas 500ml #85,DRY,DRY-R32-C51,52,0.53,hogar
SKU-0003,Leche UHT 1L #81,TC,TC-R19-C6,189,3.61,bebidas_frias
SKU-0004,Cargador Carga Rápida #85,DRY,DRY-R29-C43,8,12.15,abarrotes
SKU-0005,Audífonos Bluetooth #53,DRY,DRY-R29-C43,495,2.37,abarrotes
SKU-0006,Jabón Lavavajillas 500ml #58,DRY,DRY-R17-C34,181,5.42,limpieza
SKU-0007,Detergente Líquico 3L #68,DRY,DRY-R33-C57,477,1.92,libros
SKU-0008,Papas Fritas Congeladas 1kg #90,TC,TC-R32-C17,102,4.44,bebidas_frias
SKU-0009,Jabón Lavavajillas 500ml #15,DRY,DRY-R5-C42,45,11.61,juguetes
SKU-0010,Arroz Extra 5kg #58,DRY,DRY-R29-C43,432,6.83,libros
SKU-0011,Insulina Rápida #36,TC,TC-R30-C18,249,1.41,congelados
SKU-0012,Bloques de Construcción #91,DRY,DRY-R5-C39,130,8.04,limpieza
SKU-0013,Helado de Vainilla 1L #91,TC,TC-R8-C20,185,2.83,farmacia
SKU-0014,Lomo de Cerdo 1kg #14,TC,TC-R10-C23,78,1.65,lacteos
SKU-0015,Vacuna Gripe A #37,TC,TC-R21-C18,236,2.55,bebidas_frias
SKU-0016,Azúcar Rubia 1kg #43,DRY,DRY-R32-C36,292,3.74,electro
SKU-0017,Muñeca de Moda #64,DRY,DRY-R6-C51,75,5.46,juguetes
SKU-0018,Detergente Líquico 3L #24,DRY,DRY-R16-C37,410,9.43,limpieza
SKU-0019,Jabón Lavavajillas 500ml #59,DRY,DRY-R18-C49,244,8.96,hogar
SKU-0020,Papel Toalla x6 #97,DRY,DRY-R5-C36,279,10.24,hogar
SKU-0021,Libro Novela Ficción #53,DRY,DRY-R33-C34,85,4.44,libros
SKU-0022,Galletas de Soda x12 #74,DRY,DRY-R13-C39,59,7.64,juguetes
SKU-0023,Libro Novela Ficción #74,DRY,DRY-R4-C40,395,2.33,snacks
SKU-0024,Leche UHT 1L #86,TC,TC-R26-C9,38,2.49,bebidas_frias
SKU-0025,Papas Pringles Original #40,DRY,DRY-R5-C33,295,3.65,libros
SKU-0026,Sartén Antiadherente 24cm #18,DRY,DRY-R29-C57,70,11.5,limpieza
SKU-0027,Fideos Tallarín 500g #43,DRY,DRY-R23-C57,221,13.09,hogar
SKU-0028,Aceite Vegetal 1L #49,DRY,DRY-R6-C51,337,14.93,hogar
